chr	start	end	strand	strand_source	motif	intron_length	gene_id	unique_reads	multi_reads
NC_000072.7	143153044	143153064	1	GTF	TG/GA	20	Etnk1	43	4
NC_000078.7	30640574	30640594	1	GTF	GT/AA	20	Tmem18	8	3
NC_000067.7	135369389	135369410	2	GTF	AG/TC	21	Nav1	112	1
NC_000086.8	72840550	72840571	2	GTF	AC/AC	21	Pdzd4	5	2
NC_000078.7	108073245	108073267	2	GTF	CC/GC	22	Setd3	94	0
NC_000071.7	138186545	138186567	1	GTF	AT/AA	22	Cnpy4	8	0
NC_000085.7	7071249	7071274	1	GTF	TG/TG	25	Macrod1	13	18
NC_000077.7	5474278	5474303	1	GTF	GC/CT	25	Xbp1	6	0
NW_023337853.1	315	344	0	Unknown	GC/GC	29	NA	16	42
NC_000074.7	26517777	26517806	2	GTF	TG/AG	29	Hook3	12	4
NC_000079.7	108189216	108189247	2	GTF	AA/GT	31	Ndufaf2	16	0
NC_000075.7	115034678	115034711	1	GTF	AG/CC	33	Osbpl10	3	0
NC_000067.7	153570947	153570985	1	GTF	TG/TG	38	Rgs8	27	1
NC_000073.7	4718484	4718533	1	GTF	CC/TT	49	Brsk1	3	0
NC_000077.7	69284368	69284417	2	GTF	CC/TC	49	Cyb5d1	2	0
NC_000073.7	26980640	26980692	1	GTF	CC/CC	52	Numbl	4	0
NC_000079.7	99561936	99561989	2	GTF	AG/AG	53	Map1b	7	0
NC_000074.7	8740112	8740165	2	GTF	GA/GC	53	Arglu1	6	0
NC_000074.7	123994666	123994722	1	GTF	CC/GG	56	Zfp276	3	0
NC_000086.8	164959997	164960054	1	GTF	GT/CA	57	Gemin8	15	0
NC_000069.7	100870182	100870241	2	GTF	GG/GC	59	Ttf2	5	0
NC_000068.8	154714089	154714157	2	GTF	GA/CT	68	Eif2s2	43	0
NC_000085.7	58971335	58971403	2	GTF	CT/TT	68	Shtn1	4	0
NC_000073.7	18810377	18810448	1	GTF	GC/GG	71	Dmwd	3	0
NC_000085.7	10078621	10078693	2	GTF	CG/AC	72	Fads2	5	0
NC_000071.7	139757485	139757570	2	GTF	TG/GT	85	Ints1	30	0
NC_000070.7	148709627	148709717	2	GTF	AG/TT	90	Tardbp	4	0
NC_000083.7	14050205	14050314	1	GTF	GA/TG	109	Afdn	3	0
NC_000068.8	120439505	120439616	2	GTF	AG/GG	111	Lrrc57	4	0
NC_000086.8	69408496	69408610	2	GTF	CC/GC	114	Ids	2	0
NC_000073.7	28838342	28838467	1	GTF	AT/AA	125	Rasgrp4	3	0
NC_000078.7	24688809	24688937	2	GTF	AG/GG	128	Gm6969	11	1
NC_000067.7	75412656	75412790	1	GTF	GT/GG	134	Gmppa	8	0
NC_000072.7	87822306	87822446	2	GTF	TG/GT	140	Cnbp	66	0
NC_000080.7	70678604	70678744	2	GTF	GC/GG	140	Polr3d	4	10
NC_000077.7	69921279	69921420	1	GTF	GT/TG	141	Dlg4	649	13
NC_000071.7	137294582	137294728	2	GTF	TG/GT	146	Srrt	212	0
NC_000077.7	119963801	119963948	2	GTF	GA/GG	147	Cep131	39	0
NC_000071.7	123020297	123020464	2	GTF	TG/GT	167	Kdm2b	52	0
NC_000073.7	126997572	126997742	2	GTF	GG/AG	170	Zfp764	4	0
NC_000076.7	80216897	80217072	2	GTF	AG/AT	175	Mex3d	24	0
NC_000081.7	76217818	76217994	1	GTF	AT/AT	176	Gpaa1	79	0
NC_000070.7	155091189	155091374	2	GTF	AA/AT	185	Plch2	40	0
NC_000082.7	45556932	45557122	2	GTF	TG/GT	190	Abhd10	2	0
NC_000068.8	164349431	164349622	1	GTF	GT/TG	191	Pigt	70	8
NC_000073.7	143950169	143950362	1	GTF	GT/GG	193	Shank2	7	0
NC_000075.7	124057789	124057987	2	GTF	AA/GT	198	2010315B03Rik	6	0
NC_000082.7	84654063	84654261	1	GTF	GT/GG	198	Gabpa	3	0
NC_000073.7	44633300	44633499	2	GTF	AG/AT	199	Prmt1	30	0
NC_000069.7	157869712	157869912	2	GTF	TC/GG	200	Lrrc7	10	4
NC_000071.7	135040520	135040721	1	GTF	GT/TG	201	Abhd11	2	0
NC_000072.7	49233216	49233420	2	GTF	CC/GG	204	Tra2a	17	0
NC_000067.7	171110377	171110588	2	GTF	AG/AT	211	Usp21	117	0
NC_000083.7	35470613	35470826	1	GTF	CT/CC	213	Ddx39b	7	8
NC_000068.8	26909638	26909856	1	GTF	TG/TC	218	Cacfd1	8	60
NC_000083.7	35369923	35370145	2	GTF	TT/TT	222	Prrc2a	6	0
NC_000082.7	18226049	18226278	2	GTF	AA/GG	229	Comt	12	0
NC_000075.7	103066653	103066898	2	GTF	AG/CT	245	Srprb	90	6
NC_000081.7	74412410	74412666	1	GTF	GT/GG	256	Adgrb1	20	0
NC_000069.7	102965901	102966220	1	GTF	GG/AG	319	Nras	2	0
NC_000087.8	90754074	90754396	1	GTF	GA/AG	322	Gm52481	2	0
NC_000067.7	171098944	171099276	1	GTF	GT/AA	332	B4galt3	122	0
NC_000077.7	115481370	115481712	2	GTF	TG/GT	342	Gga3	6	0
